scenario_id,model_a,model_b,length_delta,jaccard_overlap
MC21-001-F,gemma:2b-instruct,llama3:8b,104,0.168
MC21-001-F,gemma:2b-instruct,mistral:7b-instruct,1041,0.146
MC21-001-F,gemma:2b-instruct,orca-mini:7b,1415,0.102
MC21-001-F,gemma:2b-instruct,phi3:mini,175,0.193
MC21-001-F,llama3:8b,mistral:7b-instruct,1145,0.210
MC21-001-F,llama3:8b,orca-mini:7b,1519,0.121
MC21-001-F,llama3:8b,phi3:mini,279,0.227
MC21-001-F,mistral:7b-instruct,orca-mini:7b,374,0.224
MC21-001-F,mistral:7b-instruct,phi3:mini,866,0.157
MC21-001-F,orca-mini:7b,phi3:mini,1240,0.079
MC21-001-N,gemma:2b-instruct,llama3:8b,259,0.186
MC21-001-N,gemma:2b-instruct,mistral:7b-instruct,168,0.188
MC21-001-N,gemma:2b-instruct,orca-mini:7b,82,0.179
MC21-001-N,gemma:2b-instruct,phi3:mini,95,0.230
MC21-001-N,llama3:8b,mistral:7b-instruct,91,0.271
MC21-001-N,llama3:8b,orca-mini:7b,177,0.247
MC21-001-N,llama3:8b,phi3:mini,164,0.278
MC21-001-N,mistral:7b-instruct,orca-mini:7b,86,0.260
MC21-001-N,mistral:7b-instruct,phi3:mini,73,0.288
MC21-001-N,orca-mini:7b,phi3:mini,13,0.293
MC21-001-S,gemma:2b-instruct,llama3:8b,12,0.218
MC21-001-S,gemma:2b-instruct,mistral:7b-instruct,644,0.181
MC21-001-S,gemma:2b-instruct,orca-mini:7b,1364,0.120
MC21-001-S,gemma:2b-instruct,phi3:mini,193,0.199
MC21-001-S,llama3:8b,mistral:7b-instruct,656,0.271
MC21-001-S,llama3:8b,orca-mini:7b,1376,0.187
MC21-001-S,llama3:8b,phi3:mini,205,0.273
MC21-001-S,mistral:7b-instruct,orca-mini:7b,720,0.248
MC21-001-S,mistral:7b-instruct,phi3:mini,451,0.281
MC21-001-S,orca-mini:7b,phi3:mini,1171,0.148
MC21-002-F,gemma:2b-instruct,llama3:8b,23,0.262
MC21-002-F,gemma:2b-instruct,mistral:7b-instruct,886,0.247
MC21-002-F,gemma:2b-instruct,orca-mini:7b,1135,0.212
MC21-002-F,gemma:2b-instruct,phi3:mini,1127,0.160
MC21-002-F,llama3:8b,mistral:7b-instruct,909,0.246
MC21-002-F,llama3:8b,orca-mini:7b,1158,0.209
MC21-002-F,llama3:8b,phi3:mini,1150,0.209
MC21-002-F,mistral:7b-instruct,orca-mini:7b,249,0.250
MC21-002-F,mistral:7b-instruct,phi3:mini,241,0.226
MC21-002-F,orca-mini:7b,phi3:mini,8,0.200
MC21-002-N,gemma:2b-instruct,llama3:8b,103,0.215
MC21-002-N,gemma:2b-instruct,mistral:7b-instruct,181,0.235
MC21-002-N,gemma:2b-instruct,orca-mini:7b,673,0.174
MC21-002-N,gemma:2b-instruct,phi3:mini,210,0.190
MC21-002-N,llama3:8b,mistral:7b-instruct,78,0.308
MC21-002-N,llama3:8b,orca-mini:7b,570,0.272
MC21-002-N,llama3:8b,phi3:mini,107,0.207
MC21-002-N,mistral:7b-instruct,orca-mini:7b,492,0.286
MC21-002-N,mistral:7b-instruct,phi3:mini,29,0.219
MC21-002-N,orca-mini:7b,phi3:mini,463,0.231
MC21-002-S,gemma:2b-instruct,llama3:8b,187,0.171
MC21-002-S,gemma:2b-instruct,mistral:7b-instruct,335,0.178
MC21-002-S,gemma:2b-instruct,orca-mini:7b,1497,0.124
MC21-002-S,gemma:2b-instruct,phi3:mini,401,0.151
MC21-002-S,llama3:8b,mistral:7b-instruct,148,0.230
MC21-002-S,llama3:8b,orca-mini:7b,1310,0.157
MC21-002-S,llama3:8b,phi3:mini,214,0.227
MC21-002-S,mistral:7b-instruct,orca-mini:7b,1162,0.152
MC21-002-S,mistral:7b-instruct,phi3:mini,66,0.171
MC21-002-S,orca-mini:7b,phi3:mini,1096,0.127
MC21-003-F,gemma:2b-instruct,llama3:8b,47,0.201
MC21-003-F,gemma:2b-instruct,mistral:7b-instruct,135,0.185
MC21-003-F,gemma:2b-instruct,orca-mini:7b,1187,0.174
MC21-003-F,gemma:2b-instruct,phi3:mini,114,0.188
MC21-003-F,llama3:8b,mistral:7b-instruct,182,0.249
MC21-003-F,llama3:8b,orca-mini:7b,1234,0.190
MC21-003-F,llama3:8b,phi3:mini,161,0.227
MC21-003-F,mistral:7b-instruct,orca-mini:7b,1052,0.189
MC21-003-F,mistral:7b-instruct,phi3:mini,21,0.202
MC21-003-F,orca-mini:7b,phi3:mini,1073,0.128
MC21-003-N,gemma:2b-instruct,llama3:8b,57,0.163
MC21-003-N,gemma:2b-instruct,mistral:7b-instruct,96,0.207
MC21-003-N,gemma:2b-instruct,orca-mini:7b,104,0.193
MC21-003-N,gemma:2b-instruct,phi3:mini,105,0.139
MC21-003-N,llama3:8b,mistral:7b-instruct,153,0.231
MC21-003-N,llama3:8b,orca-mini:7b,161,0.218
MC21-003-N,llama3:8b,phi3:mini,162,0.197
MC21-003-N,mistral:7b-instruct,orca-mini:7b,8,0.236
MC21-003-N,mistral:7b-instruct,phi3:mini,9,0.209
MC21-003-N,orca-mini:7b,phi3:mini,1,0.226
MC21-003-S,gemma:2b-instruct,llama3:8b,16,0.209
MC21-003-S,gemma:2b-instruct,mistral:7b-instruct,1119,0.180
MC21-003-S,gemma:2b-instruct,orca-mini:7b,1403,0.106
MC21-003-S,gemma:2b-instruct,phi3:mini,97,0.197
MC21-003-S,llama3:8b,mistral:7b-instruct,1103,0.196
MC21-003-S,llama3:8b,orca-mini:7b,1387,0.138
MC21-003-S,llama3:8b,phi3:mini,81,0.206
MC21-003-S,mistral:7b-instruct,orca-mini:7b,284,0.222
MC21-003-S,mistral:7b-instruct,phi3:mini,1022,0.194
MC21-003-S,orca-mini:7b,phi3:mini,1306,0.114
MC21-004-F,gemma:2b-instruct,llama3:8b,3,0.173
MC21-004-F,gemma:2b-instruct,mistral:7b-instruct,524,0.204
MC21-004-F,gemma:2b-instruct,orca-mini:7b,911,0.211
MC21-004-F,gemma:2b-instruct,phi3:mini,346,0.185
MC21-004-F,llama3:8b,mistral:7b-instruct,527,0.230
MC21-004-F,llama3:8b,orca-mini:7b,914,0.234
MC21-004-F,llama3:8b,phi3:mini,349,0.226
MC21-004-F,mistral:7b-instruct,orca-mini:7b,387,0.284
MC21-004-F,mistral:7b-instruct,phi3:mini,178,0.192
MC21-004-F,orca-mini:7b,phi3:mini,565,0.190
MC21-004-N,gemma:2b-instruct,llama3:8b,63,0.155
MC21-004-N,gemma:2b-instruct,mistral:7b-instruct,128,0.303
MC21-004-N,gemma:2b-instruct,orca-mini:7b,299,0.219
MC21-004-N,gemma:2b-instruct,phi3:mini,230,0.208
MC21-004-N,llama3:8b,mistral:7b-instruct,191,0.196
MC21-004-N,llama3:8b,orca-mini:7b,362,0.270
MC21-004-N,llama3:8b,phi3:mini,293,0.221
MC21-004-N,mistral:7b-instruct,orca-mini:7b,171,0.293
MC21-004-N,mistral:7b-instruct,phi3:mini,102,0.228
MC21-004-N,orca-mini:7b,phi3:mini,69,0.282
MC21-004-S,gemma:2b-instruct,llama3:8b,75,0.249
MC21-004-S,gemma:2b-instruct,mistral:7b-instruct,486,0.208
MC21-004-S,gemma:2b-instruct,orca-mini:7b,1142,0.238
MC21-004-S,gemma:2b-instruct,phi3:mini,876,0.240
MC21-004-S,llama3:8b,mistral:7b-instruct,411,0.302
MC21-004-S,llama3:8b,orca-mini:7b,1067,0.196
MC21-004-S,llama3:8b,phi3:mini,801,0.322
MC21-004-S,mistral:7b-instruct,orca-mini:7b,656,0.239
MC21-004-S,mistral:7b-instruct,phi3:mini,390,0.364
MC21-004-S,orca-mini:7b,phi3:mini,266,0.258
MC21-005-F,gemma:2b-instruct,llama3:8b,14,0.135
MC21-005-F,gemma:2b-instruct,mistral:7b-instruct,213,0.156
MC21-005-F,gemma:2b-instruct,orca-mini:7b,1487,0.097
MC21-005-F,gemma:2b-instruct,phi3:mini,322,0.122
MC21-005-F,llama3:8b,mistral:7b-instruct,227,0.221
MC21-005-F,llama3:8b,orca-mini:7b,1501,0.169
MC21-005-F,llama3:8b,phi3:mini,336,0.237
MC21-005-F,mistral:7b-instruct,orca-mini:7b,1274,0.178
MC21-005-F,mistral:7b-instruct,phi3:mini,109,0.220
MC21-005-F,orca-mini:7b,phi3:mini,1165,0.133
MC21-005-N,gemma:2b-instruct,llama3:8b,93,0.214
MC21-005-N,gemma:2b-instruct,mistral:7b-instruct,149,0.189
MC21-005-N,gemma:2b-instruct,orca-mini:7b,256,0.176
MC21-005-N,gemma:2b-instruct,phi3:mini,122,0.161
MC21-005-N,llama3:8b,mistral:7b-instruct,242,0.229
MC21-005-N,llama3:8b,orca-mini:7b,349,0.249
MC21-005-N,llama3:8b,phi3:mini,215,0.213
MC21-005-N,mistral:7b-instruct,orca-mini:7b,107,0.224
MC21-005-N,mistral:7b-instruct,phi3:mini,27,0.231
MC21-005-N,orca-mini:7b,phi3:mini,134,0.208
MC21-005-S,gemma:2b-instruct,llama3:8b,78,0.240
MC21-005-S,gemma:2b-instruct,mistral:7b-instruct,213,0.244
MC21-005-S,gemma:2b-instruct,orca-mini:7b,1408,0.197
MC21-005-S,gemma:2b-instruct,phi3:mini,398,0.181
MC21-005-S,llama3:8b,mistral:7b-instruct,135,0.258
MC21-005-S,llama3:8b,orca-mini:7b,1330,0.122
MC21-005-S,llama3:8b,phi3:mini,320,0.182
MC21-005-S,mistral:7b-instruct,orca-mini:7b,1195,0.166
MC21-005-S,mistral:7b-instruct,phi3:mini,185,0.267
MC21-005-S,orca-mini:7b,phi3:mini,1010,0.149
MC21-006-F,gemma:2b-instruct,llama3:8b,108,0.205
MC21-006-F,gemma:2b-instruct,mistral:7b-instruct,1034,0.173
MC21-006-F,gemma:2b-instruct,orca-mini:7b,919,0.185
MC21-006-F,gemma:2b-instruct,phi3:mini,225,0.151
MC21-006-F,llama3:8b,mistral:7b-instruct,1142,0.211
MC21-006-F,llama3:8b,orca-mini:7b,1027,0.155
MC21-006-F,llama3:8b,phi3:mini,333,0.229
MC21-006-F,mistral:7b-instruct,orca-mini:7b,115,0.226
MC21-006-F,mistral:7b-instruct,phi3:mini,809,0.230
MC21-006-F,orca-mini:7b,phi3:mini,694,0.199
MC21-006-N,gemma:2b-instruct,llama3:8b,142,0.201
MC21-006-N,gemma:2b-instruct,mistral:7b-instruct,372,0.153
MC21-006-N,gemma:2b-instruct,orca-mini:7b,380,0.190
MC21-006-N,gemma:2b-instruct,phi3:mini,65,0.194
MC21-006-N,llama3:8b,mistral:7b-instruct,514,0.237
MC21-006-N,llama3:8b,orca-mini:7b,522,0.236
MC21-006-N,llama3:8b,phi3:mini,207,0.279
MC21-006-N,mistral:7b-instruct,orca-mini:7b,8,0.277
MC21-006-N,mistral:7b-instruct,phi3:mini,307,0.307
MC21-006-N,orca-mini:7b,phi3:mini,315,0.220
MC21-006-S,gemma:2b-instruct,llama3:8b,305,0.185
MC21-006-S,gemma:2b-instruct,mistral:7b-instruct,747,0.177
MC21-006-S,gemma:2b-instruct,orca-mini:7b,951,0.168
MC21-006-S,gemma:2b-instruct,phi3:mini,192,0.183
MC21-006-S,llama3:8b,mistral:7b-instruct,1052,0.250
MC21-006-S,llama3:8b,orca-mini:7b,1256,0.219
MC21-006-S,llama3:8b,phi3:mini,113,0.218
MC21-006-S,mistral:7b-instruct,orca-mini:7b,204,0.299
MC21-006-S,mistral:7b-instruct,phi3:mini,939,0.196
MC21-006-S,orca-mini:7b,phi3:mini,1143,0.171
MC21-007-F,gemma:2b-instruct,llama3:8b,282,0.201
MC21-007-F,gemma:2b-instruct,mistral:7b-instruct,392,0.193
MC21-007-F,gemma:2b-instruct,orca-mini:7b,912,0.162
MC21-007-F,gemma:2b-instruct,phi3:mini,32,0.174
MC21-007-F,llama3:8b,mistral:7b-instruct,674,0.272
MC21-007-F,llama3:8b,orca-mini:7b,1194,0.125
MC21-007-F,llama3:8b,phi3:mini,250,0.235
MC21-007-F,mistral:7b-instruct,orca-mini:7b,520,0.148
MC21-007-F,mistral:7b-instruct,phi3:mini,424,0.198
MC21-007-F,orca-mini:7b,phi3:mini,944,0.124
MC21-007-N,gemma:2b-instruct,llama3:8b,689,0.228
MC21-007-N,gemma:2b-instruct,mistral:7b-instruct,565,0.165
MC21-007-N,gemma:2b-instruct,orca-mini:7b,287,0.200
MC21-007-N,gemma:2b-instruct,phi3:mini,516,0.239
MC21-007-N,llama3:8b,mistral:7b-instruct,124,0.237
MC21-007-N,llama3:8b,orca-mini:7b,402,0.214
MC21-007-N,llama3:8b,phi3:mini,173,0.260
MC21-007-N,mistral:7b-instruct,orca-mini:7b,278,0.257
MC21-007-N,mistral:7b-instruct,phi3:mini,49,0.267
MC21-007-N,orca-mini:7b,phi3:mini,229,0.200
MC21-007-S,gemma:2b-instruct,llama3:8b,104,0.178
MC21-007-S,gemma:2b-instruct,mistral:7b-instruct,297,0.139
MC21-007-S,gemma:2b-instruct,orca-mini:7b,947,0.142
MC21-007-S,gemma:2b-instruct,phi3:mini,201,0.128
MC21-007-S,llama3:8b,mistral:7b-instruct,401,0.273
MC21-007-S,llama3:8b,orca-mini:7b,1051,0.230
MC21-007-S,llama3:8b,phi3:mini,305,0.224
MC21-007-S,mistral:7b-instruct,orca-mini:7b,650,0.238
MC21-007-S,mistral:7b-instruct,phi3:mini,96,0.198
MC21-007-S,orca-mini:7b,phi3:mini,746,0.183
MC21-008-F,gemma:2b-instruct,llama3:8b,242,0.214
MC21-008-F,gemma:2b-instruct,mistral:7b-instruct,5,0.225
MC21-008-F,gemma:2b-instruct,orca-mini:7b,1100,0.183
MC21-008-F,gemma:2b-instruct,phi3:mini,15,0.250
MC21-008-F,llama3:8b,mistral:7b-instruct,237,0.205
MC21-008-F,llama3:8b,orca-mini:7b,1342,0.144
MC21-008-F,llama3:8b,phi3:mini,257,0.257
MC21-008-F,mistral:7b-instruct,orca-mini:7b,1105,0.164
MC21-008-F,mistral:7b-instruct,phi3:mini,20,0.225
MC21-008-F,orca-mini:7b,phi3:mini,1085,0.155
MC21-008-N,gemma:2b-instruct,llama3:8b,1034,0.228
MC21-008-N,gemma:2b-instruct,mistral:7b-instruct,991,0.182
MC21-008-N,gemma:2b-instruct,orca-mini:7b,701,0.200
MC21-008-N,gemma:2b-instruct,phi3:mini,921,0.157
MC21-008-N,llama3:8b,mistral:7b-instruct,43,0.271
MC21-008-N,llama3:8b,orca-mini:7b,333,0.257
MC21-008-N,llama3:8b,phi3:mini,113,0.223
MC21-008-N,mistral:7b-instruct,orca-mini:7b,290,0.260
MC21-008-N,mistral:7b-instruct,phi3:mini,70,0.282
MC21-008-N,orca-mini:7b,phi3:mini,220,0.223
MC21-008-S,gemma:2b-instruct,llama3:8b,294,0.175
MC21-008-S,gemma:2b-instruct,mistral:7b-instruct,137,0.202
MC21-008-S,gemma:2b-instruct,orca-mini:7b,1061,0.188
MC21-008-S,gemma:2b-instruct,phi3:mini,37,0.180
MC21-008-S,llama3:8b,mistral:7b-instruct,157,0.256
MC21-008-S,llama3:8b,orca-mini:7b,1355,0.190
MC21-008-S,llama3:8b,phi3:mini,257,0.265
MC21-008-S,mistral:7b-instruct,orca-mini:7b,1198,0.171
MC21-008-S,mistral:7b-instruct,phi3:mini,100,0.265
MC21-008-S,orca-mini:7b,phi3:mini,1098,0.153
MC21-009-F,gemma:2b-instruct,llama3:8b,125,0.205
MC21-009-F,gemma:2b-instruct,mistral:7b-instruct,528,0.159
MC21-009-F,gemma:2b-instruct,orca-mini:7b,1191,0.154
MC21-009-F,gemma:2b-instruct,phi3:mini,293,0.153
MC21-009-F,llama3:8b,mistral:7b-instruct,403,0.183
MC21-009-F,llama3:8b,orca-mini:7b,1066,0.178
MC21-009-F,llama3:8b,phi3:mini,168,0.228
MC21-009-F,mistral:7b-instruct,orca-mini:7b,663,0.241
MC21-009-F,mistral:7b-instruct,phi3:mini,235,0.263
MC21-009-F,orca-mini:7b,phi3:mini,898,0.218
MC21-009-N,gemma:2b-instruct,llama3:8b,47,0.203
MC21-009-N,gemma:2b-instruct,mistral:7b-instruct,292,0.208
MC21-009-N,gemma:2b-instruct,orca-mini:7b,285,0.220
MC21-009-N,gemma:2b-instruct,phi3:mini,289,0.162
MC21-009-N,llama3:8b,mistral:7b-instruct,339,0.307
MC21-009-N,llama3:8b,orca-mini:7b,332,0.216
MC21-009-N,llama3:8b,phi3:mini,336,0.208
MC21-009-N,mistral:7b-instruct,orca-mini:7b,7,0.280
MC21-009-N,mistral:7b-instruct,phi3:mini,3,0.280
MC21-009-N,orca-mini:7b,phi3:mini,4,0.252
MC21-009-S,gemma:2b-instruct,llama3:8b,13,0.181
MC21-009-S,gemma:2b-instruct,mistral:7b-instruct,574,0.224
MC21-009-S,gemma:2b-instruct,orca-mini:7b,1250,0.158
MC21-009-S,gemma:2b-instruct,phi3:mini,171,0.164
MC21-009-S,llama3:8b,mistral:7b-instruct,587,0.308
MC21-009-S,llama3:8b,orca-mini:7b,1263,0.221
MC21-009-S,llama3:8b,phi3:mini,184,0.205
MC21-009-S,mistral:7b-instruct,orca-mini:7b,676,0.293
MC21-009-S,mistral:7b-instruct,phi3:mini,403,0.219
MC21-009-S,orca-mini:7b,phi3:mini,1079,0.181
MC21-010-F,gemma:2b-instruct,llama3:8b,17,0.166
MC21-010-F,gemma:2b-instruct,mistral:7b-instruct,410,0.167
MC21-010-F,gemma:2b-instruct,orca-mini:7b,1250,0.125
MC21-010-F,gemma:2b-instruct,phi3:mini,299,0.194
MC21-010-F,llama3:8b,mistral:7b-instruct,393,0.251
MC21-010-F,llama3:8b,orca-mini:7b,1233,0.248
MC21-010-F,llama3:8b,phi3:mini,282,0.188
MC21-010-F,mistral:7b-instruct,orca-mini:7b,840,0.219
MC21-010-F,mistral:7b-instruct,phi3:mini,111,0.212
MC21-010-F,orca-mini:7b,phi3:mini,951,0.192
MC21-010-N,gemma:2b-instruct,llama3:8b,337,0.233
MC21-010-N,gemma:2b-instruct,mistral:7b-instruct,139,0.185
MC21-010-N,gemma:2b-instruct,orca-mini:7b,13,0.219
MC21-010-N,gemma:2b-instruct,phi3:mini,54,0.181
MC21-010-N,llama3:8b,mistral:7b-instruct,198,0.229
MC21-010-N,llama3:8b,orca-mini:7b,324,0.329
MC21-010-N,llama3:8b,phi3:mini,283,0.239
MC21-010-N,mistral:7b-instruct,orca-mini:7b,126,0.276
MC21-010-N,mistral:7b-instruct,phi3:mini,85,0.247
MC21-010-N,orca-mini:7b,phi3:mini,41,0.266
MC21-010-S,gemma:2b-instruct,llama3:8b,154,0.204
MC21-010-S,gemma:2b-instruct,mistral:7b-instruct,1095,0.165
MC21-010-S,gemma:2b-instruct,orca-mini:7b,693,0.163
MC21-010-S,gemma:2b-instruct,phi3:mini,271,0.207
MC21-010-S,llama3:8b,mistral:7b-instruct,941,0.233
MC21-010-S,llama3:8b,orca-mini:7b,539,0.260
MC21-010-S,llama3:8b,phi3:mini,117,0.308
MC21-010-S,mistral:7b-instruct,orca-mini:7b,402,0.315
MC21-010-S,mistral:7b-instruct,phi3:mini,824,0.210
MC21-010-S,orca-mini:7b,phi3:mini,422,0.262
